title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Tenchu: Wrath of Heaven,PS2,Action,Activision,K2 LLC,79.0,1.14,2003-03-03,0.44,0.34,0.25,0.11,1.14,33.0,38.0,M,,,,,,,84.0,Tenchu: Wrath of Heaven,K2LLC,Action Adventure;Fantasy,PS2,79.0,86.0,1-2 ,Activision Blizzard,ATVI
The Lord of the Rings: The Return of the King,XB,Action,Electronic Arts,"Hypnos Entertainment, Inc.",88.0,1.14,2003-11-05,0.71,0.38,0.0,0.05,1.14,31.0,31.0,T,,,,,,,91.0,The Lord of the Rings: The Return of the King,EAGames,Action;Beat-'Em-Up,XB,84.0,81.0,1-2 ,EA,EA
Spider-Man 2,XB,Action,Activision,Treyarch,77.0,1.12,2004-06-28,0.82,0.26,0.0,0.04,1.12,60.0,40.0,T,,,,,,,83.0,Spider-Man 2,Treyarch,Action Adventure;Sci-Fi,XB,83.0,82.0,1 Player,Activision Blizzard,ATVI
Castlevania: Lords of Shadow,PS3,Action,Konami,Mercury Steam,81.0,1.11,2010-10-05,0.5,0.35,0.1,0.15,1.1,62.0,468.0,M,,,,,,,80.0,Castlevania: Lords of Shadow,MercurySteam,Action Adventure;Fantasy;General;Fantasy,PS3,85.0,80.0,No Online Multiplayer,Konami,9766.T
Tom Clancy's Splinter Cell: Chaos Theory,XB,Action,Ubisoft,Ubisoft Montreal,94.0,1.11,2005-03-28,0.68,0.38,0.0,0.05,1.11,70.0,160.0,M,,,,,,,90.0,,,,,,,,Ubisoft,UBSFY
Red Dead Redemption: Undead Nightmare,X360,Action,Rockstar Games,Rockstar San Diego,100.0,1.11,2010-11-23,0.57,0.38,0.02,0.1,1.07,,18.0,M,,,,,,,76.0,,,,,,,,Take Two Interactive,TTWO
Bully: Scholarship Edition,X360,Action,Rockstar Games,Rockstar Vancouver/Mad Doc Software,81.0,1.09,2008-03-05,0.53,0.4,0.03,0.11,1.06,56.0,154.0,T,,,,,,,100.0,Bully: Scholarship Edition,"MadDocSoftware,RockstarVancouver",Action Adventure;Modern;Modern;Open-World,X360,80.0,83.0,No Online Multiplayer,Take Two Interactive,TTWO
The Godfather,PS2,Action,Electronic Arts,Headgate,75.0,1.09,2006-03-21,0.89,0.03,0.01,0.15,1.09,56.0,99.0,M,,,,,,,83.0,,,,,,,,EA,EA
Dante's Inferno,PS3,Action,Electronic Arts,Visceral Games,73.0,1.08,2010-02-09,0.64,0.28,0.04,0.13,1.08,69.0,265.0,M,,,,,,,83.0,,,,,,,,EA,EA
Dragon Ball: Xenoverse 2,XOne,Action,Namco Bandai Games,Dimps Corporation,73.0,0.2,2016-10-25,0.11,0.07,0.0,0.02,0.2,8.0,29.0,T,4.0,5.0,0.0,7.0,3.0,0.0,73.0,,,,,,,Up to 6 ,Bandai Namco,7832.T
Assassin's Creed: Rogue,X360,Action,Ubisoft,Ubisoft Sofia,72.0,1.02,2014-11-11,0.58,0.34,0.0,0.09,1.01,32.0,318.0,M,,,,,,,73.0,,,,,,,,Ubisoft,UBSFY
